Category,Item Number,Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),Sodium (mg),Fibre (g)
Vegetables,31,Peas (frozen),77,5.2,13.7,0.3,72,5
Vegetables,32,Broad beans / fava beans (fresh),72,5.6,11.7,0.6,25,5.4
Vegetables,33,Brussels sprouts (raw),59,4,9.6,0.6,25,3.8
Vegetables,34,Savoy cabbage (raw),31,1,6.4,0.2,28,3.1
Vegetables,35,Romaine lettuce (raw),17,1.2,3.2,0.3,8,2.1
Vegetables,36,"Capers, pickled ",28,1.9,2,0.6,2950,3.2
Fruit,1,Banana (peeled),89,1,23,0.4,1,2.6
Fruit,2,Apple (whole),52,0.3,13.8,0.2,1,2.4
Fruit,3,Blueberries (fresh),51,1.3,14,0.3,1,2.4
Fruit,4,Kiwi (peeled),54,1,11,0.3,3,3
Fruit,5,"Pears (raw, Bartlett)",57,0.4,15.1,0.2,1,3.1
Fruit,6,"Pear (Anjou, green, raw)",64,0.3,14.8,0.4,1,3.1
Fruit,7,"Oranges (raw, navels)",47,0.9,11.8,0.1,1,2.2
Fruit,8,"Mandarin (seedless, peeled, raw)",72,1,17.6,0.3,2,1.8
Fruit,9,"Grapes, red (seedless, raw)",69,0.7,18.1,0.2,2,0.9
Fruit,10,"Grapes, green (seedless, raw)",69,0.7,18.1,0.2,2,0.9
Fruit,11,Strawberries (raw),36,0.6,8,0.2,1,2
Fruit,12,Raspberries (raw),52,1.2,11.9,0.7,1,6.5
Fruit,13,Blackberries (raw),43,1.4,9.6,0.5,1,5.3
Fruit,14,"Cherries (sweet, dark red, raw)",63,1.1,16,0.2,0,2.1
Fruit,15,"Peaches (yellow, raw)",42,0.9,10.1,0.3,0,1.5
Fruit,16,Nectarines (raw),39,1.1,9.2,0.3,0,1.7
Fruit,17,"Apricots (raw, with skin)",48,1.4,11.1,0.4,1,2
Fruit,18,"Plums (black, raw, with skin)",46,0.7,11.4,0.3,0,1.4
Fruit,19,Figs (dried),249,3.3,63.9,0.9,10,9.8
Fruit,20,"Melon, cantaloupe (raw)",34,0.8,8.2,0.2,16,0.9
Fruit,21,"Melon, honeydew (raw)",36,0.5,9.1,0.1,18,0.8
Fruit,22,"Watermelon (seedless, flesh only, raw)",30,0.6,7.6,0.2,1,0.4
Fruit,23,"Mango (Ataulfo, peeled, raw)",60,0.8,15,0.4,1,1.6
Fruit,24,"Mango (Tommy Atkins, peeled, raw)",60,0.8,15,0.4,1,1.6
Fruit,25,"Plantain (underripe, raw)",122,1.3,31.9,0.4,4,2.3
Fruit,26,"Plantain (ripe, raw)",122,1.3,32,0.4,4,2.3
Fruit,27,"Plantain (overripe, raw)",122,1.3,32.3,0.4,4,2.2
Fruit,28,"Pawpaw (peeled, seeded, raw)",43,0.5,10.8,0.3,8,1.7
Fruit,29,"Orange juice (no pulp, not from concentrate, refrigerated)",45,0.7,10.4,0.2,1,0.2
